"Shape","Size_or_Ratio","Day","Area","BPM_gcamp","Maximum","FWHM","T0","T50","T75","BeatRatePeak_bpm","Time_Int_sec","Max_Contract_pixsec","Max_Relax","Group","ShapeGroup"
"Rectangle",4,20,0.238096206283233,-1.27939271416027,0.621606979097522,-0.336338011606283,-0.569394741353563,-0.228746550335974,-0.358292310122567,-1.60768268321431,0.0925532584468598,-0.491194471601819,-0.470051780841296,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.152308631983178,-1.4943436423416,-0.156891543777431,-0.180440172357845,-0.714875894704901,-0.0458877269140809,-0.191938686190541,-1.58660903534577,0.534832957407635,-0.696536019327394,-0.940050282029182,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.306863062836543,-1.06460044008435,1.05293408999276,-0.0657034787855628,0.0122886097742545,-0.101177323917236,-0.232188316903067,-1.32703041026937,0.398750426078338,-0.51627579414799,-0.532395904552509,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.714689456760679,-1.09652164609398,1.19554990956497,-0.315414429220904,-0.634053031731936,-0.229802428056521,-0.364511137185446,-1.32869858694828,0.143587075730487,-0.589290310893508,-0.581293362479931,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.150953814419102,-0.618909327150716,0.776155665142589,-0.327248258602799,-0.418605817896539,-0.254183604512773,-0.390854779604588,-1.32812284455468,-0.111576274617366,-0.479961079261443,-0.468344304500384,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.269007092453906,1.19276824875476,-1.01870817760817,-0.852224370747429,-1.49610727557881,-0.509014892922454,-0.630365994123542,0.351974654429145,-0.399217254892147,-0.371016934601805,-0.167870170771412,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,1.07903015294854,0.991632920073023,0.946213026737305,-0.321159839138201,-0.387000459539947,-0.260326893068679,-0.40847478961608,-0.12082057041285,-0.00951437612039304,-0.204411082755213,-0.0688041078984123,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.719569430705071,0.628283287850111,0.407192235791149,-0.251700405809689,-0.375661132495978,-0.199277963044362,-0.349482305116821,-0.132032784462699,0.143587075730487,-0.212437105969987,-0.0763800205643317,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.742443486471369,0.290121581402986,0.0109554366944104,-0.209767488652106,-0.360702871289041,-0.141396666181684,-0.295585803905199,-0.268520638311127,0.220134933620786,-0.173745999108864,-0.0015476110508169,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.581575342698036,0.0598827436238007,-0.120444396769109,-0.300579266300123,-0.472407305786005,-0.259558981999191,-0.400269392797003,-0.531996596513475,0.0779721677943951,0.0044580643151387,0.295125437852298,"Rectangle 1to4 Day 20","Rectangle 1to4"
"Rectangle",4,20,0.495393161340483,-0.45814829521515,-0.507133838824004,-0.243725433834934,-0.634053031731936,-0.120951033956559,-0.268810298495579,-0.848212034232724,0.0925532584468598,-0.112669178508553,0.0110789100590487,"Rectangle 1to4 Day 20","Rectangle 1to4"
